iter	Passed	Remaining
0	66	66259
1	157	78528
2	247	82382
3	309	77016
4	380	75652
5	427	70858
6	504	71554
7	577	71602
8	651	71687
9	740	73302
10	800	71984
11	837	68961
12	876	66542
13	908	63987
14	967	63561
15	1025	63068
16	1066	61677
17	1099	60011
18	1179	60879
19	1225	60071
20	1289	60120
21	1367	60795
22	1460	62049
23	1547	62946
24	1603	62517
25	1686	63189
26	1774	63959
27	1863	64700
28	1950	65313
29	2049	66267
30	2161	67558
31	2233	67549
32	2325	68147
33	2359	67033
34	2452	67622
35	2540	68019
36	2609	67906
37	2687	68027
38	2764	68114
39	2823	67756
40	2889	67587
41	2935	66961
42	3010	66990
43	3076	66835
44	3159	67050
45	3249	67381
46	3318	67283
47	3408	67593
48	3487	67687
49	3571	67859
50	3640	67749
51	3720	67828
52	3814	68154
53	3915	68588
54	3974	68286
55	4053	68323
56	4124	68235
57	4207	68331
58	4299	68576
59	4404	69007
60	4519	69566
61	4623	69956
62	4715	70126
63	4773	69817
64	4828	69451
65	4913	69535
66	4974	69265
67	5041	69099
68	5138	69332
69	5241	69633
70	5306	69436
71	5400	69611
72	5466	69415
73	5559	69563
74	5628	69412
75	5747	69872
76	5837	69968
77	5929	70091
78	6014	70116
79	6107	70232
80	6197	70314
81	6265	70144
82	6344	70097
83	6418	69994
84	6493	69896
85	6580	69938
86	6669	69987
87	6758	70037
88	6842	70036
89	6932	70097
90	6998	69911
91	7089	69975
92	7182	70044
93	7284	70210
94	7389	70396
95	7473	70380
96	7574	70516
97	7629	70225
98	7694	70023
99	7767	69908
100	7842	69807
101	7936	69873
102	8011	69769
103	8081	69621
104	8146	69442
105	8225	69373
106	8316	69409
107	8398	69364
108	8503	69506
109	8589	69498
110	8664	69394
111	8764	69486
112	8830	69317
113	8929	69398
114	9020	69419
115	9111	69434
116	9181	69294
117	9295	69482
118	9394	69547
119	9487	69578
120	9597	69723
121	9705	69849
122	9793	69826
123	9883	69819
124	9995	69969
125	10085	69958
126	10146	69749
127	10238	69746
128	10326	69726
129	10428	69787
130	10536	69894
131	10641	69973
132	10736	69987
133	10827	69977
134	10927	70015
135	11012	69963
136	11067	69718
137	11181	69841
138	11283	69891
139	11357	69764
140	11414	69541
141	11523	69625
142	11634	69728
143	11720	69671
144	11770	69407
145	11868	69425
146	11972	69475
147	12060	69431
148	12151	69401
149	12255	69446
150	12353	69455
151	12456	69491
152	12568	69576
153	12613	69290
154	12713	69307
155	12813	69323
156	12860	69052
157	12957	69049
158	13070	69135
159	13179	69193
160	13270	69152
161	13383	69230
162	13494	69295
163	13595	69305
164	13682	69242
165	13796	69316
166	13886	69263
167	13990	69286
168	14104	69352
169	14224	69446
170	14334	69494
171	14437	69501
172	14541	69511
