iter	Passed	Remaining
0	26	2664
1	59	2928
2	88	2851
3	98	2355
4	105	2000
5	117	1840
6	129	1717
7	147	1690
8	178	1809
9	205	1848
10	215	1743
11	223	1639
12	232	1556
13	250	1540
14	271	1536
15	291	1531
16	316	1542
17	335	1528
18	355	1515
19	367	1471
20	399	1502
21	413	1466
22	437	1466
23	452	1434
24	481	1443
25	498	1419
26	531	1437
27	556	1432
28	568	1391
29	602	1405
30	634	1412
31	659	1400
32	689	1400
33	719	1396
34	735	1366
35	754	1342
36	770	1311
37	788	1287
38	812	1270
39	843	1265
40	875	1260
41	887	1225
42	902	1195
43	922	1174
44	954	1167
45	987	1158
46	997	1125
47	1022	1107
48	1034	1076
49	1063	1063
50	1083	1040
51	1112	1026
52	1141	1012
53	1157	985
54	1178	964
55	1189	934
56	1213	915
57	1221	884
58	1236	859
59	1253	835
60	1270	812
61	1283	786
62	1306	767
63	1321	743
64	1343	723
65	1349	695
66	1359	669
67	1386	652
68	1415	636
69	1439	616
70	1468	599
71	1493	580
72	1512	559
73	1525	535
74	1541	513
75	1549	489
76	1577	471
77	1606	453
78	1635	434
79	1663	415
80	1691	396
81	1725	378
82	1735	355
83	1744	332
84	1772	312
85	1787	291
86	1807	270
87	1822	248
88	1850	228
89	1878	208
90	1893	187
91	1901	165
92	1907	143
93	1919	122
94	1952	102
95	1973	82
96	1991	61
97	2023	41
98	2049	20
99	2075	0
